run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250904-16:23:18-30210,runattr,,,configname,General,,
General-0-20250904-16:23:18-30210,runattr,,,datetime,20250904-16:23:18,,
General-0-20250904-16:23:18-30210,runattr,,,datetimef,20250904-162318,,
General-0-20250904-16:23:18-30210,runattr,,,experiment,General,,
General-0-20250904-16:23:18-30210,runattr,,,inifile,omnetpp.ini,,
General-0-20250904-16:23:18-30210,runattr,,,iterationvars,,,
General-0-20250904-16:23:18-30210,runattr,,,iterationvarsd,,,
General-0-20250904-16:23:18-30210,runattr,,,iterationvarsf,,,
General-0-20250904-16:23:18-30210,runattr,,,measurement,,,
General-0-20250904-16:23:18-30210,runattr,,,network,DemoNet,,
General-0-20250904-16:23:18-30210,runattr,,,processid,30210,,
General-0-20250904-16:23:18-30210,runattr,,,repetition,0,,
General-0-20250904-16:23:18-30210,runattr,,,replication,#0,,
General-0-20250904-16:23:18-30210,runattr,,,resultdir,results,,
General-0-20250904-16:23:18-30210,runattr,,,runnumber,0,,
General-0-20250904-16:23:18-30210,runattr,,,seedset,0,,
General-0-20250904-16:23:18-30210,config,,,network,DemoNet,,
General-0-20250904-16:23:18-30210,config,,,sim-time-limit,30s,,
General-0-20250904-16:23:18-30210,config,,,output-vector-file,results/General-0.vec,,
General-0-20250904-16:23:18-30210,config,,,output-scalar-file,results/General-0.sca,,
General-0-20250904-16:23:18-30210,config,,,**.vector-recording,true,,
General-0-20250904-16:23:18-30210,vector,DemoNet.a,sent:DemoNet.a,,,"1 4 7","1 2 3"
General-0-20250904-16:23:18-30210,vector,DemoNet.a,successRate:DemoNet.a,,,"1 4 7","1 1 1"
General-0-20250904-16:23:18-30210,vector,DemoNet.a,gasUsed:DemoNet.a,,,"1 4 7","127316 127316 127316"
General-0-20250904-16:23:18-30210,vector,DemoNet.b,sent:DemoNet.b,,,"2 6","1 2"
General-0-20250904-16:23:18-30210,vector,DemoNet.b,successRate:DemoNet.b,,,"2 6","1 1"
General-0-20250904-16:23:18-30210,vector,DemoNet.b,gasUsed:DemoNet.b,,,"2 6","121979 121979"
